timestamp,test_case_id,scenario_type,original_locator,status,text_score,locator_score,position_score,combined_score,selected_element,healing_time_ms,is_false_positive
"2026-06-15 21:15:14.173","AUTO-001","auto_healing","By.xpath: //button[contains(translate(normalize-space(.),'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'LOGIN')]","SUCCESS",0.0495,0.0000,0.0000,0.5313,"<input class='btn-submit' name='submit' accesskey='l' value='LOGIN' tabindex='6' type='submit'>",902,false
"2026-06-15 21:15:16.146","AUTO-002","auto_healing","By.id: spotLogoutButton","SUCCESS",0.5455,0.6667,0.0000,1.0000,"<a href='/logout' class='text-white' data-self-healing-old-id='spotLogoutButton' id='spotLogoutButtonRefactor' data-self-healing-mutated-from='spotLog",1123,false
"2026-06-15 21:15:19.193","AUTO-003","auto_healing","By.id: spotCourseMenuLink","SUCCESS",0.0952,0.0000,0.0000,0.5313,"<a href='https://spot.upi.edu/language/en'><img src='https://spot.upi.edu/images/uk.png' alt='English' width='30'> <b>EN</b></a>",930,false
"2026-06-15 21:15:22.221","AUTO-004","auto_healing","By.xpath: //h1[contains(normalize-space(.),'Daftar Mata Kuliah')]","SUCCESS",0.3913,0.0000,0.0000,0.5313,"<a class='active waves-effect' href='/mhs'><i class='fa fa-list'></i> <span class='hide-menu'><b>Daftar Mata Kuliah</b></span></a>",1030,false
"2026-06-15 21:15:23.322","AUTO-005","auto_healing","By.id: spotCourseTableTitle","SUCCESS",0.2174,0.7188,0.0000,1.0000,"<a class='active waves-effect' href='/mhs' data-self-healing-old-id='spotCourseTableTitle' id='spotCourseTableTitleRefactor' data-self-healing-mutated",955,false
"2026-06-15 21:15:26.718","AUTO-006","auto_healing","By.id: spotMainHeaderTitle","FAIL",0.1818,0.0000,0.0000,0.1136,"-",1213,false
"2026-06-15 21:15:29.957","AUTO-007","auto_healing","By.id: spotCourseCodeCell","FAIL",0.1429,0.0000,0.0000,0.0893,"-",894,false
